,country,year,child_mortality,gdp_per_capita,population,continent
197,Togo,2016,7.57,1400.0,7661361.0,Africa
198,Tokelau,2016,,,1447.0,Oceania
199,Tonga,2016,1.64,,105721.0,Oceania
200,Trinidad and Tobago,2016,1.85,29178.0,1469334.0,North America
201,Tunisia,2016,1.36,11073.0,11685666.0,Africa
202,Turkey,2016,1.27,17906.0,81019400.0,Asia
203,Turkmenistan,2016,5.1000000000000005,23813.0,5868568.0,Asia
204,Turks and Caicos Islands,2016,,,38267.0,North America
205,Tuvalu,2016,2.53,,10876.0,Oceania
206,Uganda,2016,5.300000000000001,1980.0,38748308.0,Africa
207,Ukraine,2016,0.91,9214.0,44833568.0,Europe
208,United Arab Emirates,2016,0.77,75876.0,8994266.0,Asia
209,United Kingdom,2016,0.43,37334.0,65655204.0,Europe
210,United States,2016,0.65,53015.0,327210208.0,North America
211,United States Virgin Islands,2016,0.9983,,102330.0,North America
212,Uruguay,2016,0.92,19468.0,3413768.0,South America
213,Uzbekistan,2016,2.41,10381.0,31453576.0,Asia
214,Vanuatu,2016,2.76,,283239.0,Oceania
215,Venezuela,2016,1.63,15219.0,30741464.0,South America
216,Vietnam,2016,2.16,6062.0,93126528.0,Asia
217,Wallis and Futuna,2016,,,12086.0,Oceania
218,Western Sahara,2016,3.6388,,505461.0,Africa
219,Yemen,2016,5.53,2506.0,29274010.0,Asia
220,Zambia,2016,6.34,3479.0,16767758.0,Africa
221,Zimbabwe,2016,5.640000000000001,1534.0,14452705.0,Africa
