,country,year,life_stage,deaths
4800,Somalia,1990,Year 1-4,23105.0
4826,Somalia,2016,Year 1-4,27256.0
4830,South Africa,1990,Year 1-4,15936.0
4856,South Africa,2016,Year 1-4,8724.0
4860,South Korea,1990,Year 1-4,1456.0
4886,South Korea,2016,Year 1-4,217.0
4890,South Sudan,1990,Year 1-4,25592.0
4916,South Sudan,2016,Year 1-4,12964.0
4920,Spain,1990,Year 1-4,741.0
4946,Spain,2016,Year 1-4,251.0
4950,Sri Lanka,1990,Year 1-4,1268.0
4976,Sri Lanka,2016,Year 1-4,419.0
4980,Sudan,1990,Year 1-4,38455.0
5006,Sudan,2016,Year 1-4,25070.0
5010,Suriname,1990,Year 1-4,70.0
5036,Suriname,2016,Year 1-4,23.0
5040,Sweden,1990,Year 1-4,120.0
5066,Sweden,2016,Year 1-4,60.0
5070,Switzerland,1990,Year 1-4,119.0
5096,Switzerland,2016,Year 1-4,45.0
5100,Syria,1990,Year 1-4,2940.0
5126,Syria,2016,Year 1-4,7297.0
5130,Tajikistan,1990,Year 1-4,4414.0
5156,Tajikistan,2016,Year 1-4,1212.0
5160,Tanzania,1990,Year 1-4,67381.0
5186,Tanzania,2016,Year 1-4,30715.0
5190,Thailand,1990,Year 1-4,7571.0
5216,Thailand,2016,Year 1-4,1115.0
5220,Timor,1990,Year 1-4,1217.0
5246,Timor,2016,Year 1-4,238.0
5250,Togo,1990,Year 1-4,8456.0
5276,Togo,2016,Year 1-4,5903.0
5280,Tonga,1990,Year 1-4,10.0
5306,Tonga,2016,Year 1-4,5.0
5310,Trinidad and Tobago,1990,Year 1-4,103.0
5336,Trinidad and Tobago,2016,Year 1-4,39.0
5340,Tunisia,1990,Year 1-4,2725.0
5366,Tunisia,2016,Year 1-4,495.0
5370,Turkey,1990,Year 1-4,26693.0
5396,Turkey,2016,Year 1-4,2212.0
5400,Turkmenistan,1990,Year 1-4,1852.0
5426,Turkmenistan,2016,Year 1-4,824.0
5430,Tuvalu,1990,Year 1-4,3.0
5456,Tuvalu,2016,Year 1-4,1.0
5460,Uganda,1990,Year 1-4,58855.0
5486,Uganda,2016,Year 1-4,22996.0
5490,Ukraine,1990,Year 1-4,1978.0
5516,Ukraine,2016,Year 1-4,635.0
5520,United Arab Emirates,1990,Year 1-4,103.0
